画像ファイル,事例ID,案件名・内容,画像内の数値（焼き込み）,対応数値ID,掲載ページ,状態,要対応
assets/img/work1.webp,C-05,自社運営 東京デートグルメInstagram,フォロワー2.1万人 / 月間リーチ約150万 / 男女比65:35,M-11 M-12,index.html:528 / works.html:264,使用中,月間リーチ約150万が台帳に未登録
assets/img/work2.webp,C-05,グルメIGのタイアップ動画（導入→訴求）,なし（投稿画面のみ）,-,なし,未使用,2026-08-31にworks.html:554から外した（マッチングアプリ事例への貼り違いのため）
assets/img/work3.webp,C-11,CLOFT様 ECサイト制作,なし,-,works.html:349,使用中,-
assets/img/work4.webp,C-11,久保電商様 コーポレートサイト制作,なし,-,works.html:335,使用中,-
assets/img/work5.webp,C-02,渋谷パスタ店のインフルエンサー施策,総再生約600万回 / 総保存約3.5万 / 想定集客300組以上,M-04 M-05,index.html:517 / works.html:198,使用中,総保存約3.5万が台帳に未登録
assets/img/work6.webp,C-11,ビビ美様 オウンドメディア制作,なし,-,works.html:363,使用中,-
assets/img/work7.webp,C-01,保険代理店のWeb集客,半年で売上600万円以上UP,M-01,index.html:506 / works.html:184,使用中,-
assets/img/work8.webp,C-07,Webエンジニア向け発信アカウント（X）,フォロワー2.9千人 / リスト獲得500人 / 商品販売191部,M-17 M-18,works.html:279,使用中,リスト獲得500人が台帳に未登録
assets/img/work9.webp,C-08,京都御池メディカルクリニック Instagram運用,予約リンク遷移率2倍,M-19,works.html:294,使用中,-
assets/img/work10.webp,C-06,しらたまちゃん Instagram運用,2か月でフォロワー4千人,M-15,works.html:308,使用中,-
assets/img/work11.webp,C-11,弊社コーポレートサイト,なし,-,works.html:419,使用中,-
assets/img/work12.webp,C-12,渋谷炉端焼き店様PR,フィード3.1万PV / リール10.2万PV / 総保存2197,台帳に行なし,works.html:569,使用中,数値マスタへ行追加候補（3項目）
assets/img/work13.webp,C-12,吉祥寺焼肉店様PR,フィード24.1万PV / リール11.7万PV / 総保存9102,台帳に行なし,works.html:584,使用中,数値マスタへ行追加候補（3項目）
