画像ファイル,画像の中身（見たままの説明）,事例ID,事例名,画像が示している実績・数値,掲載ページ,判断根拠
assets/img/work1.webp,fallingourmetのIGプロフィール画面＋数値パネル＋ユーザー属性の円グラフ,C-05,自社運営 東京デートグルメInstagram,フォロワー2.1万人／月間リーチ約150万／男女比65:35／25-34歳39%・35-44歳22.5%,index.html / works.html,HTML＋画像
assets/img/work2.webp,fallingourmet×bachelor_dateのタイアップ動画2カット（導入→訴求）,C-09,マッチングアプリの獲得単価最適化（META広告）,実績数値なし。広告クリエイティブそのもの,works.html,HTML＋画像（altは誤り）
assets/img/work3.webp,CLOFTのECサイトをPCとスマホで表示,C-11,サイト制作実績,実績数値なし,works.html,HTML＋画像
assets/img/work4.webp,KDS（久保電商）のコーポレートサイトをPCとスマホで表示,C-11,サイト制作実績,実績数値なし,works.html,HTML＋画像
assets/img/work5.webp,数値パネル3つ＋パスタ動画のスマホ画面,C-02,渋谷パスタ店のインフルエンサー施策,総再生約600万回／総保存約3.5万／想定集客300組以上,index.html / works.html,HTML＋画像
assets/img/work6.webp,ビビ美のオウンドメディアをPCとスマホで表示,C-11,サイト制作実績,実績数値なし,works.html,HTML＋画像
assets/img/work7.webp,施策内容3行＋棒グラフ（施策前→施策後）,C-01,保険代理店のWeb集客／インフルエンサー施策再設計,半年で売上600万円以上UP,index.html / works.html,HTML＋画像
assets/img/work8.webp,XプロフィールとBrain商品画面＋数値パネル,C-07,Webエンジニア向け発信アカウント運用（X）,フォロワー2.9千人／リスト獲得500人／商品販売191部,works.html,HTML＋画像
assets/img/work9.webp,クリニックのIGプロフィール＋数値パネル,C-08,京都御池メディカルクリニック Instagram運用,モニター予約リンクの遷移率2倍,works.html,HTML＋画像
assets/img/work10.webp,sake_tokyo_girlのIGプロフィール＋フォロワー推移グラフ,C-06,ファンサイト×SNS×META広告（個人事業主）,投稿開始から2か月でフォロワー4千人,works.html,HTML＋画像
assets/img/work11.webp,LnX自社サイトをPCとスマホで表示,C-11,サイト制作実績（自社）,実績数値なし,works.html,HTML＋画像
assets/img/work12.webp,炉端焼きのIG投稿2枚＋PR結果パネル,C-12,渋谷炉端焼き店様PR（動画制作）,フィード3.1万PV／リール10.2万PV／総保存2197,works.html,HTML＋画像
assets/img/work13.webp,焼肉のIG投稿2枚＋PR結果パネル,C-12,吉祥寺焼肉店様PR（動画制作）,フィード24.1万PV／リール11.7万PV／総保存9102,works.html,HTML＋画像
assets/img/work14.webp,FUN SMILE株式会社のサイトをPCとスマホで表示,C-11,サイト制作実績,実績数値なし,works.html,HTML＋画像
assets/img/work15.webp,lilisコンサル（Webデザイナー育成スクール）のサイト,C-11,サイト制作実績,実績数値なし,works.html,HTML＋画像
assets/img/work16.webp,lilis Designの制作実績一覧サイト,C-11,サイト制作実績,「ホームページ制作220000円」はクライアントの提供価格。LnXの実績数値ではない,works.html,HTML＋画像
assets/img/work17.webp,司法試験合格支援サービスのLP全景,C-11,サイト制作実績（LP）,実績数値なし,works.html,HTML＋画像
